Type,Post Date,Description,Amount,Check or Slip #
DEBIT,06/08/2015,"Online Payment 4677114055 To CAPITAL ONE 06/08",-186.31,
DEBIT,06/08/2015,"Online Payment 4677114051 To CAPITAL ONE 06/08",-116.50,
DEBIT,06/08/2015,"KINGS ATLANTIC C-STORE BROOKLYN NY   014875  06/07",-38.31,
CREDIT,06/05/2015,"Online Transfer from SAV ...9608 transaction#: 4676363323",350.00,
DEBIT,06/05/2015,"Online Payment 4676361966 To National Grid 06/05",-17.97,
DEBIT,06/02/2015,"SQ *GREGORYS COFFEE New York NY              06/01",-3.80,
DEBIT,06/01/2015,"Online Payment 4661659797 To conEdison 06/01",-18.62,
DEBIT,06/01/2015,"GIGMASTERS.COM 866-342-9794 CT               05/30",-84.00,
DEBIT,05/29/2015,"B&H PHOTO STORE NEW YORK NY                  05/27",-64.24,
DEBIT,05/29/2015,"BARBONCINO BROOKLYN NY                       05/27",-30.68,
DEBIT,05/28/2015,"GARDEN OF EDEN #2 NEW YORK NY                05/27",-0.59,
DEBIT,05/28/2015,"275 SEVENTH AVE 275 SE NEW YORK NY   532727  05/28",-2.99,
DEBIT,05/28/2015,"TRADER JOE'S # 543 NEW YORK NY       156844  05/28",-44.47,
CREDIT,05/27/2015,"Online Transfer from SAV ...9608 transaction#: 4653273907",350.00,
DEBIT,05/27/2015,"012 GLOBAL 561-393-1005 FL                   05/26",-20.00,
DEBIT,05/27/2015,"LANDR AUDIO INC. 5148409700 QC               05/26",-14.00,
DEBIT,05/27/2015,"TRADER JOE'S # 543 NEW YORK NY       736897  05/27",-17.96,
DEBIT,05/27/2015,"GIGMASTERS.COM 866-342-9794 CT               05/26",-90.00,
DEBIT,05/26/2015,"SUBWAY        03166600 NEW YORK NY           05/22",-4.90,
DEBIT,05/26/2015,"55TH STREET WINE & SPI NEW YORK NY           05/25",-15.23,
DEBIT,05/26/2015,"BARBONCINO BROOKLYN NY                       05/24",-54.46,
DEBIT,05/26/2015,"SQ *ASTORIA COFFEE Astoria NY                05/25",-4.00,
DEBIT,05/26/2015,"TARGET T1 TARGET T1849 BROOKLYN NY           05/26",-25.01,
DEBIT,05/26/2015,"GIGMASTERS.COM 866-342-9794 CT               05/22",-55.30,
DEBIT,05/26/2015,"BLINK MOTO #620 888-566-4223 NY              05/23",-15.68,
DEBIT,05/22/2015,"THE CELLAR NYC NEW YORK NY                   05/20",-32.12,
DEBIT,05/22/2015,"NYCDOT PARKING METERS LONG IS CITY NY        05/21",-3.50,
DEBIT,05/22/2015,"BAGEL STIX NEW YORK NY                       05/21",-8.11,
DEBIT,05/22/2015,"MTA VENDING MACHINES NEW YORK NY     644391  05/22",-10.00,
CREDIT,05/21/2015,"Online Transfer from SAV ...9608 transaction#: 4642629092",350.00,
DEBIT,05/21/2015,"GARDEN OF EDEN #2 NEW YORK NY                05/20",-2.58,
DEBIT,05/21/2015,"SUBWAY        00509422 NEW YORK NY           05/20",-6.09,
DEBIT,05/21/2015,"STARBUCKS CARD RELOAD 800-782-7282 WA        05/21",-20.00,
DEBIT,05/20/2015,"SQ *GIMME COFFEE CAYUGA Ithaca NY            05/19",-5.50,
DEBIT,05/20/2015,"SUBWAY        00313387 BINGHAMTON NY         05/20",-5.94,
DEBIT,05/19/2015,"TEAVANA   #22994 NEW YO New York NY          05/18",-3.76,
DEBIT,05/19/2015,"MCDONALD'S F12039 COLUMBIA NJ                05/18",-9.19,
DEBIT,05/18/2015,"Irving Farm Coffee Roas New York NY          05/14",-8.49,
DEBIT,05/18/2015,"10TH AVE PETROL NEW YORK NY                  05/17",-10.01,
DEBIT,05/14/2015,"Duane Reade 71 W 23RD NEW YORK NY    212744  05/14",-12.79,
DEBIT,05/13/2015,"THINK COFFEE 4TH AVE NEW YORK NY             05/11",-3.25,
DEBIT,05/13/2015,"ST IS FERY AUBONPAIN STATEN ISLAND NY        05/12",-3.38,
DEBIT,05/13/2015,"ST IS FERY AUBONPAIN STATEN ISLAND NY        05/12",-1.95,
DEBIT,05/13/2015,"THE VITAMIN SHOPPE #42 NEW YORK NY           05/13",-32.68,
DEBIT,05/13/2015,"TRADER JOE'S # 543 NEW YORK NY       060598  05/13",-40.02,
DEBIT,05/11/2015,"APL* ITUNES.COM/BILL 866-712-7753 CA         05/09",-14.14,
DEBIT,05/11/2015,"MODERN INSURANCE CONC 877-520-8363 TX        05/10",-98.50,
DEBIT,05/07/2015,"SUBWAY        03166600 NEW YORK NY           05/06",-5.99,
DEBIT,05/07/2015,"Staples, Inc NEW YORK NY             409263  05/07",-11.42,
DEBIT,05/07/2015,"TRADER JOE'S # 543 NEW YORK NY       435272  05/07",-60.64,
CREDIT,05/06/2015,"Online Transfer from SAV ...9608 transaction#: 4613493534",350.00,
DEBIT,05/06/2015,"Irving Farm Coffee Roas New York NY          05/04",-8.00,
DEBIT,05/06/2015,"Online Payment 4613491909 To National Grid 05/06",-20.03,
DEBIT,05/06/2015,"WHOLEFDS TRB 102 270 G New York NY   208745  05/06",-3.88,
DEBIT,05/06/2015,"ATM WITHDRAWAL                       005256  05/06158 W 14T",-20.00,
CREDIT,05/05/2015,"Online Transfer from SAV ...9608 transaction#: 4611389070",850.00,
DEBIT,05/05/2015,"Online Payment 4611392599 To CAPITAL ONE 05/05",-116.50,
DEBIT,05/05/2015,"Online Payment 4611392603 To CAPITAL ONE 05/05",-1095.62,
DEBIT,05/04/2015,"SAM ASH MUSIC #07 NEW YORK NY                05/01",21.72,
DEBIT,05/04/2015,"SAM ASH MUSIC #07 NEW YORK NY                05/01",-8.66,
DEBIT,05/04/2015,"COLLEGETOWN BAGELS ITHACA NY                 05/01",-8.59,
DEBIT,05/04/2015,"SQ *GIMME COFFEE - GATE Ithaca NY            05/01",-6.00,
DEBIT,05/04/2015,"GRUBHUB SEAMLESS 877-585-7878 IL             05/02",-27.81,
DEBIT,05/04/2015,"SQ *GIMME COFFEE CAYUGA Ithaca NY            05/02",-11.00,
DEBIT,05/04/2015,"Online Payment 4608244808 To conEdison 05/04",-18.05,
DEBIT,05/01/2015,"DOS TOROS TAQUERIA NEW YORK NY               04/28",-9.50,
DEBIT,05/01/2015,"COACHUSA/MEGABUS WWW.MEGABUS.C NJ            04/30",-53.50,
DEBIT,05/01/2015,"WEGMANS 500 S. MEADOW ITHACA NY      027414  05/01",-16.88,
DEBIT,04/30/2015,"SAM ASH MUSIC #07 NEW YORK NY                04/29",-21.72,
DEBIT,04/30/2015,"GARDEN OF EDEN #2 NEW YORK NY                04/29",-0.59,
DEBIT,04/30/2015,"PAPYRUS # 2343 275 7TH NEW YORK NY   213447  04/30",-7.57,
DEBIT,04/29/2015,"THINK COFFEE 4TH AVE NEW YORK NY             04/27",-4.00,
DEBIT,04/29/2015,"GOTPRINT.COM 818-252-3000 CA                 04/29",-19.95,
DEBIT,04/29/2015,"B&H PHOTO STORE NEW YORK NY                  04/28",-144.23,
DEBIT,04/29/2015,"STARBUCKS CARD RELOAD 800-782-7282 WA        04/29",-20.00,
DEBIT,04/29/2015,"TRADER JOE'S # 543 NEW YORK NY       792030  04/29",-8.98,
DEBIT,04/27/2015,"SUBWAY        03166600 NEW YORK NY           04/24",-5.99,
DEBIT,04/27/2015,"SQ *TOBY'S ESTATE COFFE New York NY          04/25",-4.00,
DEBIT,04/27/2015,"MIXGENIUS 5148409700 QC                      04/26",-14.00,
DEBIT,04/24/2015,"TRADER JOE'S # 543 NEW YORK NY       601140  04/24",-56.89,
DEBIT,04/24/2015,"BLINK MOTO #620 888-566-4223 NY              04/23",-15.68,
DEBIT,04/23/2015,"GARDEN OF EDEN #2 NEW YORK NY                04/22",-2.32,
DEBIT,04/22/2015,"MCDONALD'S F12030 CORNWALL NY                04/21",-2.02,
DEBIT,04/21/2015,"THAI BASIL RESTAURANT ITHACA NY              04/19",-27.65,
DEBIT,04/21/2015,"SQ *GIMME COFFEE CAYUGA Ithaca NY            04/20",-3.50,
DEBIT,04/20/2015,"SUBWAY        03406857 BROOKLYN NY           04/18",-6.53,
DEBIT,04/20/2015,"SCOTT FUEL TRAV DALTON PA                    04/19",-5.46,
DEBIT,04/17/2015,"SQ *MADE MAN BARBER SHO New York NY          04/16",-27.97,
DEBIT,04/17/2015,"GOURMET GARAGE-7TH AVS NEW YORK NY   482312  04/17",-1.69,
DEBIT,04/17/2015,"TARGET T1 TARGET T1849 BROOKLYN NY           04/17",-28.28,
DEBIT,04/16/2015,"GARDEN OF EDEN #2 NEW YORK NY                04/15",-0.59,
DEBIT,04/16/2015,"CAFE FOUR SEASON NEW YORK NY                 04/15",-5.39,
DEBIT,04/15/2015,"MCDONALD'S F3081 NEW YORK NY                 04/13",-4.12,
DEBIT,04/14/2015,"BOB & BETTY`S BROOKLYN NY                    04/12",-4.99,
DEBIT,04/13/2015,"WHYNOT MY WAY LLC NEW YORK NY                04/10",-8.97,
DEBIT,04/13/2015,"SQUARESPACE INC. 6465803456 NY               04/10",-172.80,
DEBIT,04/13/2015,"FIKA PARK AVE SOUTH LL NEW YORK NY           04/11",-4.00,
DEBIT,04/13/2015,"FIKA PARK AVE SOUTH LL NEW YORK NY           04/11",-3.00,
DEBIT,04/13/2015,"CAFE MARM NEW YORK NY                        04/11",-2.56,
DEBIT,04/13/2015,"CALEXICO NEW YORK NY                         04/11",-30.09,
DEBIT,04/10/2015,"THE VITAMIN SHOPPE #42 NEW YORK NY           04/10",-32.68,
DEBIT,04/09/2015,"INTUIT *TURBOTAX 800-446-8848 CA             04/08",-103.41,
DEBIT,04/09/2015,"TRADER JOE'S # 543 NEW YORK NY       424138  04/09",-59.12,
CREDIT,04/08/2015,"Online Transfer from SAV ...9608 transaction#: 4555866862",1200.00,
DEBIT,04/08/2015,"WHOLEFDS HOU 102 95 Ea New York NY   164541  04/08",-13.46,
DEBIT,04/07/2015,"CVS 02435 02435--75 CH NEW YORK NY   702156  04/07",-7.07,
CREDIT,04/06/2015,"Online Transfer from SAV ...9608 transaction#: 4551655414",350.00,
DEBIT,04/06/2015,"MANHATTANVILLE COFFEE BROOKLYN NY            04/03",-9.44,
DEBIT,04/06/2015,"Online Payment 4551662372 To CAPITAL ONE 04/06",-112.00,
DEBIT,04/06/2015,"Online Payment 4551662384 To conEdison 04/06",-19.24,
DEBIT,04/06/2015,"Online Payment 4551662400 To National Grid 04/06",-19.02,
DEBIT,04/06/2015,"Online Payment 4551662409 To CAPITAL ONE 04/06",-256.50,
DEBIT,04/03/2015,"ASSOCIATED SUPERMA BROOKLYN NY       463846  04/03",-31.11,
DEBIT,04/02/2015,"CHIPOTLE 1879 NEW YORK NY                    04/01",-9.00,
DEBIT,04/02/2015,"STARBUCKS CARD RELOAD 800-782-7282 WA        04/02",-20.00,
DEBIT,04/02/2015,"BEDBATH&BEYOND# BEDBAT NEW YORK NY   241891  04/02",-4.34,
DEBIT,04/01/2015,"PEDALIN PIG INC BANNER ELK NC                03/30",-31.05,
DEBIT,04/01/2015,"SUBWAY        00518118 FRONT ROYAL VA        03/31",-6.01,
DEBIT,03/31/2015,"SIX PENCE PUB BLOWING ROCK NC                03/29",-30.26,
DEBIT,03/31/2015,"SQ *BALD GUY BREW OF Blowing Rock NC         03/30",-11.03,
DEBIT,03/31/2015,"SQ *BALD GUY BREW OF Blowing Rock NC         03/31",-7.73,
DEBIT,03/30/2015,"BARBONCINO BROOKLYN NY                       03/27",-37.38,
DEBIT,03/30/2015,"GIFT SHOP NJ-T10886018 PENNSGROVE NJ         03/27",-3.99,
DEBIT,03/30/2015,"BURGER KING NJ10882009 PENNSGROVE NJ         03/27",-7.76,
DEBIT,03/30/2015,"MCDONALD'S F10738 STAFFORD VA                03/27",-5.13,
DEBIT,03/30/2015,"MCDONALD'S F5241 HILLSBOROUGH NC             03/29",-3.89,
DSLIP,03/27/2015,"REMOTE ONLINE DEPOSIT #          1",120.00,1
DEBIT,03/27/2015,"012 GLOBAL 561-393-1005 FL                   03/26",-20.00,
DEBIT,03/27/2015,"GIGMASTERS.COM 866-342-9794 CT               03/26",-125.00,
CREDIT,03/26/2015,"Online Transfer from SAV ...9608 transaction#: 4527782419",500.00,
DEBIT,03/26/2015,"GARDEN OF EDEN #2 NEW YORK NY                03/25",-3.39,
DEBIT,03/26/2015,"WHOLEFDS CHE 101 250 S Manhattan NY  255559  03/26",-1.89,
DEBIT,03/25/2015,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        03/25",-14.71,
DEBIT,03/25/2015,"TRADER JOE'S # 543 NEW YORK NY       437134  03/25",-12.24,
DEBIT,03/25/2015,"WWW HOVER COM 416-538-5498 MS                03/24",-16.35,
DEBIT,03/24/2015,"KEY FOOD #1418 BROOKLYN NY           194911  03/24",-8.07,
DEBIT,03/24/2015,"BLINK MOTO #620 888-566-4223 NY              03/23",-15.68,
DEBIT,03/23/2015,"LULA BAGEL BROOKLYN NY                       03/21",-13.00,
DEBIT,03/23/2015,"CITRICO BROOKLYN NY                          03/21",-28.00,
DEBIT,03/23/2015,"NYC TAXI 4K68 LONG ISLAND NY                 03/22",-16.30,
DEBIT,03/23/2015,"JCCAFE TENAFLY NJ                            03/22",-3.21,
DEBIT,03/19/2015,"GARDEN OF EDEN #2 NEW YORK NY                03/18",-1.18,
DEBIT,03/18/2015,"SINOTIME TECH 877-597-3802 FL                03/17",-8.99,
DEBIT,03/17/2015,"PAYPAL *GDCDIRECT 402-935-7733 CA            03/16",-12.80,
DEBIT,03/16/2015,"GARDEN OF EDEN #2 NEW YORK NY                03/13",-0.59,
DEBIT,03/16/2015,"SQ *THE ELK New York NY                      03/14",-2.50,
DEBIT,03/16/2015,"CVS 02435 02435--75 CH NEW YORK NY   057420  03/14",-2.29,
DEBIT,03/16/2015,"SQ *DEN ENTERTAINMENT New York NY            03/14",-12.00,
DEBIT,03/13/2015,"AROMA ESPRESSO BAR - C NEW YORK NY           03/12",-5.17,
DEBIT,03/13/2015,"THE VITAMIN SHOPPE #42 NEW YORK NY           03/13",-32.68,
DEBIT,03/12/2015,"GARDEN OF EDEN #2 NEW YORK NY                03/11",-1.06,
DEBIT,03/12/2015,"PELOTON INTERACTIVE, LL NEW YORK NY          03/11",-2.72,
DEBIT,03/12/2015,"PELOTON INTERACTIVE, LL NEW YORK NY          03/11",-5.17,
DEBIT,03/11/2015,"GRISTEDES # 543 NEW YORK NY          218109  03/10",-2.69,
DEBIT,03/11/2015,"THE HOME DEPOT 6175 NEW YORK NY      306196  03/11",-6.50,
DEBIT,03/11/2015,"TRADER JOE'S # 543 NEW YORK NY       105225  03/11",-75.20,
DEBIT,03/09/2015,"CENT`ANNI BROOKLYN NY                        03/06",-27.74,
DEBIT,03/09/2015,"ANTIQUE GARAGE RESTAURA NEW YORK NY          03/07",-32.13,
CREDIT,03/06/2015,"Online Transfer from SAV ...9608 transaction#: 4489085668",500.00,
DEBIT,03/06/2015,"7 GRAMS CAFFE NEW YORK NY                    03/05",-7.40,
DEBIT,03/06/2015,"Online Payment 4489101156 To CAPITAL ONE 03/06",-130.51,
DEBIT,03/06/2015,"Online Payment 4489101099 To CAPITAL ONE 03/06",-112.00,
DEBIT,03/06/2015,"Online Payment 4489101142 To National Grid 03/06",-37.14,
DEBIT,03/06/2015,"Online Payment 4489101122 To conEdison 03/06",-18.66,
DEBIT,03/06/2015,"Duane Reade 180 W 20TH NEW YORK NY   440153  03/06",-3.38,
DEBIT,03/03/2015,"NORTHSTAR HOUSE ITHACA NY                    03/01",-20.00,
DEBIT,03/03/2015,"ASSOCIATED SUPERMA BROOKLYN NY       498177  03/03",-13.77,
DEBIT,03/03/2015,"TRADER JOE'S # 543 NEW YORK NY       489938  03/03",-32.07,
CREDIT,03/02/2015,"Online Transfer from SAV ...9608 transaction#: 4477771799",300.00,
DEBIT,03/02/2015,"DICK'S CLOTHING&SPORTI ITHACA NY             02/28",-13.51,
DEBIT,03/02/2015,"USA*Fantasy Photo Booth ITHACA NY            02/28",-5.00,
DEBIT,03/02/2015,"BANDWAGON BREWPUB ITHACA NY                  02/28",-44.88,
DEBIT,03/02/2015,"CAFE PACIFIC ITHACA NY                       03/01",-24.61,
DEBIT,03/02/2015,"GIGMASTERS.COM 866-342-9794 CT               03/01",-47.40,
DEBIT,02/27/2015,"GARDEN OF EDEN #2 NEW YORK NY                02/26",-1.18,
DEBIT,02/27/2015,"J GUMBO'S NYC, LLC NEW YORK NY               02/26",-21.44,
DEBIT,02/27/2015,"SQ *CAFE GRUMPY (CHELSE New York NY          02/26",-3.75,
DEBIT,02/27/2015,"BIRDLAND NEW YORK NY                         02/26",-12.89,
DEBIT,02/27/2015,"THE VITAMIN SHOPPE #42 NEW YORK NY           02/27",-5.00,
DEBIT,02/27/2015,"TRADER JOE'S # 543 NEW YORK NY       725068  02/27",-13.89,
DEBIT,02/26/2015,"BEDBATH&BEYOND# BEDBAT NEW YORK NY   509264  02/26",-17.39,
DEBIT,02/25/2015,"DUNKIN #347534     Q35 NEW YORK NY           02/24",-1.09,
DEBIT,02/25/2015,"GARDEN OF EDEN #2 NEW YORK NY        124338  02/25",-1.18,
DEBIT,02/24/2015,"BLINK MOTO #620 888-566-4223 NY              02/23",-15.68,
DEBIT,02/23/2015,"STARBUCKS CARD RELOAD 800-782-7282 WA        02/22",-20.00,
DEBIT,02/23/2015,"TRES CARNES NEW YORK NY                      02/23",-12.50,
DEBIT,02/20/2015,"Duane Reade 1889 BROAD NEW YORK NY   445186  02/20",-4.88,
DEBIT,02/19/2015,"KOS KAFFE BROOKLYN NY                        02/17",-17.49,
DEBIT,02/19/2015,"TRADER JOE'S # 543 NEW YORK NY       672132  02/19",-41.92,
DEBIT,02/19/2015,"THE VITAMIN SHOPPE #42 NEW YORK NY           02/19",-29.99,
DEBIT,02/18/2015,"CHAVELAS BROOKLYN NY                         02/16",-66.61,
DEBIT,02/18/2015,"CVS 02435 02435--75 CH NEW YORK NY   447153  02/18",-4.98,
CREDIT,02/17/2015,"Online Transfer from SAV ...9608 transaction#: 4452723412",350.00,
DEBIT,02/17/2015,"CHIPOTLE 0643 NEW YORK NY                    02/11",-9.50,
DEBIT,02/17/2015,"ANDY'S 418 COLUMBUS AV NEW YORK NY           02/13",-8.00,
DEBIT,02/17/2015,"BARBONCINO BROOKLYN NY                       02/14",-27.68,
DEBIT,02/17/2015,"THE CROWN INN BROOKLYN NY                    02/14",-16.00,
DEBIT,02/17/2015,"IKEA BROOKLYN BROOKLYN NY            421007  02/17",-68.10,
DEBIT,02/13/2015,"FRANKLIN PARK BROOKLYN NY                    02/10",-26.87,
DEBIT,02/12/2015,"7 GRAMS CAFFE NEW YORK NY                    02/11",-2.85,
DEBIT,02/11/2015,"GARDEN OF EDEN #2 NEW YORK NY        441580  02/11",-1.18,
DEBIT,02/10/2015,"FIVE NAPKIN UPTOWN NEW YORK NY               02/09",-24.00,
DEBIT,02/10/2015,"SQ *JOE 'LOWER WEST SID New York NY          02/10",-2.50,
DEBIT,02/10/2015,"ATM WITHDRAWAL                       002224  02/10160 COLUM",-150.00,
CREDIT,02/09/2015,"Online Transfer from SAV ...9608 transaction#: 4437170515",400.00,
DEBIT,02/09/2015,"APL* ITUNES.COM/BILL 866-712-7753 CA         02/08",-3.26,
DEBIT,02/09/2015,"Online Payment 4437169311 To CAPITAL ONE 02/09",-161.73,
DEBIT,02/09/2015,"Online Payment 4437169305 To CAPITAL ONE 02/09",-112.00,
DEBIT,02/09/2015,"MTA VENDING MACHINES NEW YORK NY     796983  02/09",-5.00,
DEBIT,02/06/2015,"WHOLEFDS USQ 101 40Eas New York NY   514239  02/06",-15.35,
DEBIT,02/06/2015,"Duane Reade 52 E 14TH NEW YORK NY    024069  02/06",-23.13,
DEBIT,02/06/2015,"Duane Reade 52 E 14TH NEW YORK NY    502812  02/06",-1.89,
DEBIT,02/05/2015,"APL* ITUNES.COM/BILL 866-712-7753 CA         02/05",-5.94,
DEBIT,02/05/2015,"SQ *BIRCH COFFEE New York NY                 02/04",-4.75,
DEBIT,02/05/2015,"TRADER JOE'S # 543 NEW YORK NY       698333  02/05",-54.82,
DEBIT,02/04/2015,"GARDEN OF EDEN #2 NEW YORK NY        157020  02/04",-1.18,
DEBIT,02/04/2015,"WHOLEFDS TRB 102 270 G New York NY   838493  02/04",-1.99,
CREDIT,02/02/2015,"Online Transfer from SAV ...9608 transaction#: 4420851941",400.00,
DEBIT,02/02/2015,"Duane Reade 52 E 14TH NEW YORK NY    657546  01/31",-21.48,
DEBIT,02/02/2015,"EMPORIUM FRESH MAR BROOKLYN NY       762509  01/31",-3.99,
DEBIT,02/02/2015,"EMPORIUM FRESH MAR BROOKLYN NY       264527  01/31",-5.99,
DEBIT,02/02/2015,"Online Payment 4420855267 To conEdison 02/02",-18.66,
DEBIT,01/30/2015,"Irving Farm Coffee Roas New York NY          01/28",-7.11,
DEBIT,01/30/2015,"GARDEN OF EDEN #2 NEW YORK NY        496138  01/30",-2.88,
DEBIT,01/30/2015,"GARDEN OF EDEN #2 NEW YORK NY        139274  01/30",-2.49,
DEBIT,01/29/2015,"TRADER JOE'S # 543 NEW YORK NY       363062  01/29",-61.68,
DEBIT,01/28/2015,"TRADER JOE'S # 543 NEW YORK NY       526968  01/28",-7.13,
DEBIT,01/28/2015,"GARDEN OF EDEN #2 NEW YORK NY        192768  01/28",-2.49,
DEBIT,01/27/2015,"MCDONALD'S F3079 BROOKLYN NY                 01/26",-4.33,
DEBIT,01/26/2015,"WEGMANS 500 S. MEADOW ITHACA NY      029900  01/24",-13.38,
DEBIT,01/26/2015,"ISTANBUL ITHACA ITHACA NY                    01/25",-26.20,
DEBIT,01/26/2015,"BLINK MOTO #620 888-566-4223 NY              01/23",-15.68,
DEBIT,01/23/2015,"Irving Farm Coffee Roas New York NY          01/21",-7.11,
DEBIT,01/23/2015,"GARDEN OF EDEN #2 NEW YORK NY        413461  01/23",-0.59,
DEBIT,01/22/2015,"WHYNOT MY WAY LLC NEW YORK NY                01/21",-8.62,
DEBIT,01/21/2015,"GARDEN OF EDEN #2 NEW YORK NY        486280  01/21",-1.18,
DEBIT,01/21/2015,"TRADER JOE'S # 543 NEW YORK NY       716819  01/21",-48.77,
DEBIT,01/21/2015,"THE VITAMIN SHOPPE #42 NEW YORK NY           01/21",-28.99,
DEBIT,01/20/2015,"PELOTON 8666799129 NY                        01/16",-2.72,
DEBIT,01/20/2015,"012 GLOBAL 561-393-1005 FL                   01/19",-20.00,
DEBIT,01/16/2015,"STARBUCKS CARD RELOAD 800-782-7282 WA        01/16",-20.00,
DEBIT,01/16/2015,"EISENBERGS SANDWICH SHO NEW YORK NY          01/15",-21.14,
DEBIT,01/16/2015,"SQ *MADE MAN BARBER SHO New York NY          01/15",-32.97,
DEBIT,01/15/2015,"TRADER JOE'S # 543 NEW YORK NY       303329  01/15",-55.88,
DEBIT,01/14/2015,"KOFFEECAKE CORNER NEW YORK NY                01/13",-2.12,
DEBIT,01/13/2015,"PANERA BREAD #865 QUEENSBURY NY              01/12",-8.12,
DEBIT,01/13/2015,"Online Payment 4383459720 To CAPITAL ONE 01/13",-75.41,
DEBIT,01/13/2015,"Online Payment 4383459734 To CAPITAL ONE 01/13",-178.53,
DEBIT,01/13/2015,"Online Payment 4383459725 To National Grid 01/13",-22.25,
CREDIT,01/12/2015,"Online Transfer from SAV ...9608 transaction#: 4383467042",350.00,
DEBIT,01/05/2015,"LULA BAGEL BROOKLYN NY                       01/01",-12.25,
DEBIT,01/05/2015,"BARBONCINO BROOKLYN NY                       01/01",-23.60,
DEBIT,01/05/2015,"Online Payment 4366888623 To conEdison 01/05",-20.97,
DEBIT,01/02/2015,"MTA VENDING MACHINES NEW YORK NY     851484  01/01",-10.00,
DEBIT,01/02/2015,"GARDEN OF EDEN #2 NEW YORK NY        125844  01/02",-5.89,
DEBIT,01/02/2015,"TRADER JOE'S # 543 NEW YORK NY       857850  01/02",-31.22,
DEBIT,12/31/2014,"DEAREST BROOKLYN NY                          12/30",-16.33,
DEBIT,12/31/2014,"SQ *GORILLA COFFEE Brooklyn NY               12/30",-11.00,
DEBIT,12/29/2014,"DEAREST BROOKLYN NY                          12/27",-21.78,
DEBIT,12/29/2014,"MCDONALD'S F3880 BROOKLYN NY                 12/27",-1.40,
DEBIT,12/24/2014,"KOFFEECAKE CORNER NEW YORK NY                12/23",-3.21,
DEBIT,12/24/2014,"BLINK MOTO #620 888-566-4223 NY              12/23",-15.68,
DEBIT,12/23/2014,"NYCDOT PARKING METERS LONG IS CITY NY        12/22",-1.75,
DEBIT,12/22/2014,"J GUMBO'S NYC, LLC NEW YORK NY               12/19",-9.74,
DEBIT,12/19/2014,"GARDEN OF EDEN #2 NEW YORK NY        196079  12/19",-1.99,
DEBIT,12/19/2014,"TRADER JOE'S # 543 NEW YORK NY       354274  12/19",-68.14,
DEBIT,12/18/2014,"TRADER JOE'S # 543 NEW YORK NY       410562  12/18",-5.45,
DEBIT,12/17/2014,"ATM WITHDRAWAL                       001848  12/17158 W 14T",-40.00,
DEBIT,12/15/2014,"GARDEN OF EDEN #2 NEW YORK NY        498291  12/15",-3.08,
CREDIT,12/08/2014,"VENMO            CASHOUT    36108976        CCD ID: 1264681992",477.00,
DEBIT,12/08/2014,"Online Payment 4311407705 To National Grid 12/08",-21.70,
DEBIT,12/08/2014,"Online Payment 4311407718 To CAPITAL ONE 12/08",-136.59,
DEBIT,12/08/2014,"TRADER JOE'S # 558 BROOKLYN NY       030825  12/08",-68.66,
DEBIT,12/05/2014,"CVS 02435 02435--75 CH NEW YORK NY   502357  12/05",-2.29,
DEBIT,12/04/2014,"STARBUCKS CARD RELOAD 800-782-7282 WA        12/04",-20.00,
DEBIT,12/04/2014,"LE PAIN QUOTIDIEN NEW YORK NY                12/03",-5.91,
DEBIT,12/04/2014,"Duane Reade 425 PARK A NEW YORK NY   361071  12/04",-3.78,
DEBIT,12/03/2014,"TRADER JOE'S # 543 NEW YORK NY       837449  12/03",-5.48,
DEBIT,12/03/2014,"THUMBTACK, INC. 855-846-2825 CA              12/02",-17.99,
CREDIT,12/02/2014,"Online Transfer from SAV ...9608 transaction#: 4302244237",500.00,
DEBIT,12/02/2014,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        12/01",-11.49,
DEBIT,12/02/2014,"MTA VENDING MACHINES NEW YORK NY     457351  12/02",-112.00,
CREDIT,12/01/2014,"Online Transfer from SAV ...9608 transaction#: 4296353286",500.00,
DEBIT,12/01/2014,"THE VITAMIN SHOPPE  24 BROOKLYN NY           11/29",-48.66,
DEBIT,12/01/2014,"TRADER JOE'S # 558 BROOKLYN NY       996287  11/30",-8.78,
DEBIT,12/01/2014,"UNIQLO 34TH ST US0032 NEW YORK NY    749025  11/30",-59.90,
DEBIT,12/01/2014,"Online Payment 4299058636 To conEdison 12/01",-18.08,
DEBIT,12/01/2014,"ATM WITHDRAWAL                       008425  12/01257 UTICA",-300.00,
DEBIT,11/28/2014,"CHIPOTLE 1879 NEW YORK NY                    11/26",-9.50,
DEBIT,11/28/2014,"NJT NY PENN STA   5092 NEW YORK NY           11/26",-14.75,
DEBIT,11/28/2014,"NJT PRINCETON JCT 02 PRINCETON JUN NJ        11/28",-14.75,
DEBIT,11/28/2014,"TRADER JOE'S # 543 NEW YORK NY       251348  11/28",-3.68,
DEBIT,11/28/2014,"TRADER JOE'S # 543 NEW YORK NY       372805  11/28",-37.28,
DEBIT,11/26/2014,"WHOLEFDS TRB 102 270 G New York NY   835236  11/26",-13.52,
DEBIT,11/26/2014,"OLD NAVY USA NEW YORK  L NY          017924  11/26",-11.50,
DEBIT,11/24/2014,"012 GLOBAL 561-393-1005 FL                   11/21",-20.00,
DEBIT,11/24/2014,"CVS 02435 02435--75 CH NEW YORK NY   739398  11/24",-2.49,
